,logFC,logCPM,LR,PValue,padj
dsim_PG00010,-0.208079740105778,0.332881485484378,0.344355332088654,0.55732596536797,0.679030102355694
dsim_PG00026,0.127287610036053,4.36950677759932,2.97604317605541,0.0845056316068634,0.158032382461164
dsim_PG00027,0.0294861429212329,4.26152913696809,0.170706658893721,0.679484539742516,0.779367530909033
dsim_PG00028,-0.389819084433028,4.66016914976216,19.9204037521627,8.07340836032979e-06,4.06984130403192e-05
dsim_PG00029,0.166854041938041,8.13713251631376,6.05664973860902,0.0138540265779218,0.0335254681032259
dsim_PG00034,-1.23731828144412,7.87320893957066,42.9917176094975,5.49720960345832e-11,7.04432401353731e-10
dsim_PG00041,0.176612333753082,4.64396417565991,1.06415144549313,0.302270242666336,0.436156497542804
dsim_PG00042,0.00432365293316203,3.97905074672537,0.00128365581563372,0.971419392768476,0.982011031257239
dsim_PG00043,-0.0954473853538606,0.457172191371985,0.105152398938031,0.745732035618869,0.82994438952553
dsim_PG00044,-0.099641701696148,2.39737636584986,0.650687867403832,0.419866856342618,0.55502947448031
dsim_PG00056,-1.18534133906125,2.39141022549155,49.6726118804858,1.81664251731812e-12,3.04609721387898e-11
dsim_PG00062,0.833873607629253,3.35398717349773,29.67225317209,5.11619137109543e-08,3.89563782580109e-07
dsim_PG00064,0.509097592797313,0.619646478129663,7.11677067624653,0.00763661400302408,0.0199611549548366
dsim_PG00074,0.0684936634997946,2.12414824533342,0.116765515402477,0.732569375574374,0.819967876057149
dsim_PG00076,-0.000464130972710753,2.35224217920357,1.24173820239548e-05,0.997188395796496,0.998243956710857
dsim_PG00099,1.20193595067401,-0.303795665793482,9.04821721557521,0.00262951100871971,0.00771557108577793
dsim_PG00100,-0.00502926502958218,4.7267384558911,0.00355332674601527,0.952466423067337,0.969588262965319
dsim_PG00108,-0.40311973048764,3.16799921763845,5.03619498131858,0.0248229559119218,0.0555622944518449
dsim_PG00121,0.026198709309637,6.35288821406561,0.0427310326179509,0.836232552825656,0.892780678716666
dsim_PG00127,0.0242995553500239,3.61311672034017,0.0829669562577067,0.773316233383309,0.849587781029966
dsim_PG00129,-0.565667407110409,3.58613772018227,26.0741195224296,3.28558633268455e-07,2.16679148871672e-06
dsim_PG00140,-0.0595980552566497,1.78088046519611,0.115004608855351,0.73451685067348,0.821571295456594
